Sequence	PathDelay	LogicDelay	NetDelay	LUTsLogic	RegsFF	RegsLatch
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&dc2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	14.762	9.172(63%)	5.590(37%)	2147	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	14.322	9.172(65%)	5.150(35%)	2077	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&synch2;&synch2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.681	10.055(74%)	3.626(26%)	2078	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&dc2;&syn2;&synch2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.679	10.055(74%)	3.624(26%)	2147	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&syn2;&syn2;&synch2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.602	8.699(64%)	4.903(36%)	2062	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&synch2;&syn2;&synch2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.611	8.699(64%)	4.912(36%)	2074	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&retime;&syn2;&synch2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.681	10.055(74%)	3.626(26%)	2079	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&dc2;&synch2;&synch2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.681	10.055(74%)	3.626(26%)	2108	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&syn2;&synch2;&synch2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.674	10.055(74%)	3.619(26%)	2074	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&synch2;&synch2;&synch2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.673	10.055(74%)	3.618(26%)	2083	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&retime;&synch2;&synch2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2084	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&dc2;&retime;&synch2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	14.260	9.172(65%)	5.088(35%)	2140	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&syn2;&retime;&synch2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.681	10.055(74%)	3.626(26%)	2079	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&retime;&synch2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2074	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&synch2;&retime;&synch2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2084	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&retime;&retime;&synch2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.684	10.055(74%)	3.629(26%)	2046	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&dc2;&dc2;&retime;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2185	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&syn2;&dc2;&retime;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2108	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&synch2;&dc2;&retime;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.684	10.055(74%)	3.629(26%)	2083	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&retime;&dc2;&retime;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2135	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&dc2;&syn2;&retime;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2121	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&syn2;&syn2;&retime;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.602	8.699(64%)	4.903(36%)	2077	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&synch2;&syn2;&retime;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.681	10.055(74%)	3.626(26%)	2058	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&retime;&syn2;&retime;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.674	10.055(74%)	3.619(26%)	2096	605	9
read_lut /global/home/users/minwoo_kang/fpga_benchmarks/scripts/lut_library/LUTLIB_2.txt
&scorr;&sweep;&dc2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	14.762	9.172(63%)	5.590(37%)	2147	605	9
