Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
369	&scorr;&sweep;&b;&dch;&syn3;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&syn4;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.548	4.489(22%)	16.059(78%)	22	7625	0	7625	2784	0	2415	   7559
370	&scorr;&sweep;&b;&dc2;&if -W 300 -K 6 -v;&mfs;	21.342	4.595(22%)	16.747(78%)	22	7579	0	7579	2784	0	2878	   7433
371	&scorr;&sweep;&synch2;&dch;&dch;&if -W 300 -K 6 -v;&mfs;	20.191	5.521(28%)	14.670(72%)	28	7612	0	7612	2784	0	2878	   7672
372	&scorr;&sweep;&syn4;&dch;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;&st;&dc2;&if -W 300 -g -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	17.624	5.091(29%)	12.533(71%)	29	7465	0	7465	2784	0	2414	   7404
373	&scorr;&sweep;&b -d;&syn2;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&if -W 300 -y -K 6;&b;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&if -W 300 -g -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	20.600	4.595(23%)	16.005(77%)	23	7220	0	7220	2784	0	2415	   7339
374	&scorr;&sweep;&syn4;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	19.233	3.910(21%)	15.323(79%)	21	7615	0	7615	2784	0	2414	   7599
375	&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	25.752	5.587(22%)	20.165(78%)	22	7378	0	7378	2784	0	2414	   7286
376	&scorr;&sweep;&if -W 300 -y -K 6;&b;&syn2;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	21.655	4.699(22%)	16.956(78%)	22	7338	0	7338	2784	0	2414	   7256
377	&scorr;&sweep;&syn4;&if -W 300 -y -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	19.950	4.516(23%)	15.434(77%)	23	7558	0	7558	2784	0	2414	   7472
378	&scorr;&sweep;&if -W 300 -x -K 6;&b -d;&b;&if -W 300 -K 6 -v;&mfs;	22.641	4.967(22%)	17.674(78%)	22	7316	0	7316	2784	0	2414	   7246
379	&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -y -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	22.847	5.091(23%)	17.756(77%)	23	7362	0	7362	2784	0	2414	   7239
380	&scorr;&sweep;&syn2;&syn2;&if -W 300 -K 6 -v;&mfs;	21.773	4.719(22%)	17.054(78%)	22	7314	0	7314	2784	0	2414	   7235
381	&scorr;&sweep;&syn3;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	21.451	4.719(22%)	16.732(78%)	22	7304	0	7304	2784	0	2414	   7205
382	&scorr;&sweep;&b -d;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;										1533	   7883
383	&scorr;&sweep;&syn3;&dc2;&if -W 300 -K 6 -v;&mfs;	21.085	4.699(23%)	16.386(77%)	23	7508	0	7508	2784	0	2878	   7425
384	&scorr;&sweep;&b;&b;&dc2;&if -W 300 -K 6 -v;&mfs;	21.346	4.595(22%)	16.751(78%)	22	7588	0	7588	2784	0	2878	   7447
385	&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&dch;&b;&if -W 300 -K 6 -v;&mfs;	20.015	4.276(22%)	15.739(78%)	22	7638	0	7638	2784	0	2415	   7564
386	&scorr;&sweep;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	22.326	4.967(23%)	17.359(77%)	23	7379	0	7379	2784	0	2414	   7271
387	&scorr;&sweep;&if -W 300 -x -K 6;&dch;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;&st;&synch2;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	21.144	4.595(22%)	16.549(78%)	22	7242	0	7242	2784	0	2414	   7107
388	&scorr;&sweep;&b;&syn4;&syn2;&if -W 300 -K 6 -v;&mfs;	19.453	4.451(23%)	15.002(77%)	23	7654	0	7654	2784	0	2414	   7582
389	&scorr;&sweep;&syn4;&syn4;&syn4;&if -W 300 -K 6 -v;&mfs;	18.801	3.975(22%)	14.826(78%)	22	7831	0	7831	2784	0	2879	   7831
390	&scorr;&sweep;&b;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	19.915	4.516(23%)	15.399(77%)	23	7376	0	7376	2784	0	2414	   7249
391	&scorr;&sweep;&syn2;&if -W 300 -g -K 6;&dch;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&dc2;&syn2;&if -W 300 -K 6 -v;&mfs;	19.897	4.276(22%)	15.621(78%)	22	7316	0	7316	2784	0	2414	   7289
392	&scorr;&sweep;&dc2;&synch2;&syn3;&if -W 300 -K 6 -v;&mfs;	21.104	4.582(22%)	16.522(78%)	22	7332	0	7332	2784	0	2875	   7258
393	&scorr;&sweep;&b -d;&b -d;&dch;&if -W 300 -K 6 -v;&mfs;	24.887	5.339(22%)	19.548(78%)	22	7440	0	7440	2784	0	2878	   7513
394	&scorr;&sweep;&syn4;&if -W 300 -x -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	19.535	4.268(22%)	15.267(78%)	22	7647	0	7647	2784	0	2414	   7611
395	&scorr;&sweep;&b;&synch2;&dch -f;&if -W 300 -K 6 -v;&mfs;	20.672	4.471(22%)	16.201(78%)	22	7432	0	7432	2784	0	2879	   7476
396	&scorr;&sweep;&dch -f;&dc2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	23.115	4.967(22%)	18.148(78%)	22	7422	0	7422	2784	0	2414	   7292
397	&scorr;&sweep;&dch -f;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	23.654	5.091(22%)	18.563(78%)	22	7357	0	7357	2784	0	2415	   7353
398	&scorr;&sweep;&syn3;&b -d;&if -W 300 -K 6 -v;&mfs;	21.392	4.719(23%)	16.673(77%)	23	7306	0	7306	2784	0	2879	   7222
399	&scorr;&sweep;&syn2;&synch2;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	20.038	4.471(23%)	15.567(77%)	23	7269	0	7269	2784	0	2414	   7193
400	&scorr;&sweep;&dch;&if -W 300 -K 6 -v;&mfs;	27.583	5.959(22%)	21.624(78%)	22	7412	0	7412	2784	0	2876	   7390
401	&scorr;&sweep;&syn2;&if -W 300 -x -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;	20.604	4.458(22%)	16.146(78%)	22	7437	0	7437	2784	0	2414	   7383
402	&scorr;&sweep;&b;&dch -f;&if -W 300 -K 6 -v;&mfs;	27.893	6.083(22%)	21.810(78%)	22	7379	0	7379	2784	0	2880	   7481
403	&scorr;&sweep;&dch -f;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&synch2;&synch2;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	20.035	4.471(23%)	15.564(77%)	23	7156	0	7156	2784	0	2414	   7047
404	&scorr;&sweep;&synch2;&dch;&syn2;&if -W 300 -K 6 -v;&mfs;	20.704	4.582(23%)	16.122(77%)	23	7448	0	7448	2784	0	2414	   7345
405	&scorr;&sweep;&syn4;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	18.690	4.513(25%)	14.177(75%)	25	7708	0	7708	2784	0	2414	   7700
406	&scorr;&sweep;&b;&syn3;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	22.840	4.967(22%)	17.873(78%)	22	7372	0	7372	2784	0	2414	   7281
407	&scorr;&sweep;&syn4;&syn4;&dc2;&if -W 300 -K 6 -v;&mfs;	19.425	4.640(24%)	14.785(76%)	24	7729	0	7729	2784	0	2878	   7745
408	&scorr;&sweep;&dc2;&syn2;&b;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&syn3;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	21.012	4.530(22%)	16.482(78%)	22	7196	0	7196	2784	0	2414	   7096
