Index	Sequence	PathDelay	LogicDelay	NetDelay	LUTsLogic	RegsFF	RegsLatch
134	&scorr;&sweep;&dch -f;&dch;&b -d;&if -W 300 -K 6 -v;&mfs;						
135	&scorr;&sweep;&syn3;&syn4;&dc2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4828	8254	0
136	&scorr;&sweep;&dch -f;&syn4;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4861	8254	0
137	&scorr;&sweep;&syn4;&if -W 300 -x -K 6;&syn2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4668	8254	0
138	&scorr;&sweep;&syn2;&syn4;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4823	8254	0
139	&scorr;&sweep;&b -d;&b -d;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&if -W 300 -y -K 6;&dch;&if -W 300 -K 6 -v;&mfs;						
140	&scorr;&sweep;&syn2;&syn4;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -y -K 6;&syn4;&syn2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4823	8254	0
141	&scorr;&sweep;&dch -f;&syn4;&syn3;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4672	8254	0
142	&scorr;&sweep;&if -W 300 -g -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4621	8254	0
143	&scorr;&sweep;&if -W 300 -x -K 6;&dch;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&syn4;&dch -f;&if -W 300 -K 6 -v;&mfs;						
144	&scorr;&sweep;&dch -f;&dch;&if -W 300 -K 6 -v;&mfs;&st;&synch2;&syn4;&syn4;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4851	8254	0
145	&scorr;&sweep;&if -W 300 -y -K 6;&syn3;&syn4;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4747	8254	0
146	&scorr;&sweep;&b;&syn2;&if -W 300 -K 6 -v;&mfs;&st;&synch2;&b;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4779	8254	0
147	&scorr;&sweep;&dch -f;&syn3;&b;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4636	8254	0
148	&scorr;&sweep;&dc2;&syn3;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4664	8254	0
149	&scorr;&sweep;&b;&syn2;&syn4;&if -W 300 -K 6 -v;&mfs;&st;&syn2;&b;&b;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&syn3;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&b;&b -d;&if -W 300 -K 6 -v;&mfs;						
150	&scorr;&sweep;&dch;&dch;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -y -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4709	8254	0
151	&scorr;&sweep;&b -d;&b;&dc2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4686	8254	0
152	&scorr;&sweep;&b -d;&dch -f;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;&st;&syn4;&syn2;&syn2;&if -W 300 -K 6 -v;&mfs;&st;&b;&syn3;&dc2;&if -W 300 -K 6 -v;&mfs;&st;&dc2;&if -W 300 -g -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;						
153	&scorr;&sweep;&dch;&b -d;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;						
154	&scorr;&sweep;&synch2;&if -W 300 -g -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4823	8254	0
155	&scorr;&sweep;&b -d;&syn2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4639	8254	0
156	&scorr;&sweep;&syn2;&syn4;&dch -f;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&syn2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&if -W 300 -x -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4796	8254	0
157	&scorr;&sweep;&dch -f;&if -W 300 -x -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&syn4;&syn3;&syn4;&if -W 300 -K 6 -v;&mfs;&st;&dch;&dch;&syn2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4820	8254	0
158	&scorr;&sweep;&synch2;&dc2;&dc2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4842	8254	0
159	&scorr;&sweep;&dch -f;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&dch -f;&dch -f;&if -W 300 -K 6 -v;&mfs;&st;&syn4;&synch2;&dch;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4784	8254	0
160	&scorr;&sweep;&b -d;&dc2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4666	8254	0
161	&scorr;&sweep;&if -W 300 -y -K 6;&b -d;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&synch2;&b;&if -W 300 -K 6 -v;&mfs;&st;&b;&syn2;&dc2;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&b -d;&if -W 300 -K 6 -v;&mfs;						
162	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4572	8254	0
163	&scorr;&sweep;&syn3;&b;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&b -d;&if -W 300 -K 6 -v;&mfs;						
164	&scorr;&sweep;&dc2;&if -W 300 -y -K 6;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4737	8254	0
165	&scorr;&sweep;&if -W 300 -g -K 6;&b -d;&dc2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4675	8254	0
166	&scorr;&sweep;&if -W 300 -x -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4557	8254	0
167	&scorr;&sweep;&b;&synch2;&synch2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4782	8254	0
168	&scorr;&sweep;&if -W 300 -x -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;&st;&b;&dch;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;&st;&b;&dc2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4834	8254	0
169	&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4637	8254	0
170	&scorr;&sweep;&if -W 300 -g -K 6;&dch;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4639	8254	0
171	&scorr;&sweep;&synch2;&dc2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4813	8254	0
172	&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -y -K 6;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4709	8254	0
173	&scorr;&sweep;&b -d;&if -W 300 -y -K 6;&b;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4615	8254	0
174	&scorr;&sweep;&dc2;&b -d;&dch;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4644	8254	0
175	&scorr;&sweep;&if -W 300 -g -K 6;&b;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4630	8254	0
176	&scorr;&sweep;&b -d;&if -W 300 -x -K 6;&syn2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4637	8254	0
177	&scorr;&sweep;&dch;&syn2;&syn3;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4651	8254	0
178	&scorr;&sweep;&dc2;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&synch2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4789	8254	0
179	&scorr;&sweep;&dch -f;&syn4;&dch;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&synch2;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4784	8254	0
180	&scorr;&sweep;&syn4;&syn2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4666	8254	0
181	&scorr;&sweep;&if -W 300 -x -K 6;&dc2;&syn3;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -y -K 6;&dch -f;&synch2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4763	8254	0
182	&scorr;&sweep;&b -d;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;						
183	&scorr;&sweep;&dch -f;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4562	8254	0
184	&scorr;&sweep;&synch2;&dch;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4773	8254	0
185	&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4563	8254	0
186	&scorr;&sweep;&syn2;&if -W 300 -y -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4787	8254	0
187	&scorr;&sweep;&syn4;&dc2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4800	8254	0
188	&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4613	8254	0
189	&scorr;&sweep;&dc2;&dc2;&syn2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4656	8254	0
190	&scorr;&sweep;&dch;&if -W 300 -g -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4607	8254	0
191	&scorr;&sweep;&syn3;&b -d;&syn2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4638	8254	0
192	&scorr;&sweep;&if -W 300 -g -K 6;&dch;&b -d;&if -W 300 -K 6 -v;&mfs;						
193	&scorr;&sweep;&if -W 300 -g -K 6;&b -d;&syn2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4568	8254	0
194	&scorr;&sweep;&syn4;&dch;&dch;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4836	8254	0
195	&scorr;&sweep;&syn3;&if -W 300 -g -K 6;&b -d;&if -W 300 -K 6 -v;&mfs;						
196	&scorr;&sweep;&syn2;&synch2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4783	8254	0
197	&scorr;&sweep;&b -d;&syn2;&syn4;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4822	8254	0
198	&scorr;&sweep;&syn2;&syn3;&syn4;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4820	8254	0
199	&scorr;&sweep;&b;&if -W 300 -g -K 6;&b;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&dch;&dch;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4817	8254	0
200	&scorr;&sweep;&if -W 300 -x -K 6;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&syn3;&syn3;&if -W 300 -K 6 -v;&mfs;						
201	&scorr;&sweep;&syn2;&dch -f;&syn3;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4652	8254	0
202	&scorr;&sweep;&b;&if -W 300 -g -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4761	8254	0
203	&scorr;&sweep;&dc2;&b;&b;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;&st;&dc2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4843	8254	0
204	&scorr;&sweep;&dch;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4575	8254	0
205	&scorr;&sweep;&dch -f;&dc2;&syn3;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4662	8254	0
206	&scorr;&sweep;&dc2;&b;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&b;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&syn3;&syn3;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&b -d;&syn3;&if -W 300 -K 6 -v;&mfs;&st;&synch2;&syn4;&if -W 300 -K 6 -v;&mfs;&st;&dch;&b -d;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;						
207	&scorr;&sweep;&synch2;&b;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4783	8254	0
208	&scorr;&sweep;&if -W 300 -g -K 6;&syn2;&b -d;&if -W 300 -K 6 -v;&mfs;						
209	&scorr;&sweep;&if -W 300 -y -K 6;&dc2;&b -d;&if -W 300 -K 6 -v;&mfs;						
210	&scorr;&sweep;&b;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4684	8254	0
211	&scorr;&sweep;&b;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4638	8254	0
212	&scorr;&sweep;&if -W 300 -y -K 6;&syn2;&b -d;&if -W 300 -K 6 -v;&mfs;						
213	&scorr;&sweep;&if -W 300 -y -K 6;&b -d;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;						
214	&scorr;&sweep;&dch;&if -W 300 -g -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4607	8254	0
215	&scorr;&sweep;&syn3;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4636	8254	0
216	&scorr;&sweep;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&syn2;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -y -K 6;&if -W 300 -y -K 6;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&b -d;&synch2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4680	8254	0
217	&scorr;&sweep;&syn3;&dc2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;&st;&dch -f;&syn2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4799	8254	0
218	&scorr;&sweep;&b;&dch -f;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4592	8254	0
219	&scorr;&sweep;&syn2;&b;&b -d;&if -W 300 -K 6 -v;&mfs;						
220	&scorr;&sweep;&if -W 300 -y -K 6;&b -d;&dch -f;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4608	8254	0
221	&scorr;&sweep;&syn4;&if -W 300 -y -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4818	8254	0
222	&scorr;&sweep;&b -d;&synch2;&dch -f;&if -W 300 -K 6 -v;&mfs;&st;&dc2;&if -W 300 -g -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4811	8254	0
223	&scorr;&sweep;&syn4;&synch2;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&synch2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4779	8254	0
224	&scorr;&sweep;&if -W 300 -y -K 6;&b;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4561	8254	0
225	&scorr;&sweep;&synch2;&b -d;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&b -d;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;						
226	&scorr;&sweep;&if -W 300 -x -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4557	8254	0
227	&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -y -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4564	8254	0
228	&scorr;&sweep;&dc2;&syn4;&dch -f;&if -W 300 -K 6 -v;&mfs;&st;&syn2;&synch2;&synch2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4795	8254	0
229	&scorr;&sweep;&syn3;&syn4;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4816	8254	0
230	&scorr;&sweep;&syn3;&synch2;&synch2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4788	8254	0
231	&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;&st;&b;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4797	8254	0
232	&scorr;&sweep;&dch;&if -W 300 -y -K 6;&b;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4623	8254	0
233	&scorr;&sweep;&syn3;&syn3;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4633	8254	0
234	&scorr;&sweep;&syn2;&b;&dc2;&if -W 300 -K 6 -v;&mfs;&st;&syn4;&syn4;&syn4;&if -W 300 -K 6 -v;&mfs;&st;&dch -f;&dch -f;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4839	8254	0
235	&scorr;&sweep;&dc2;&if -W 300 -g -K 6;&syn2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4595	8254	0
236	&scorr;&sweep;&if -W 300 -y -K 6;&syn2;&syn4;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4747	8254	0
237	&scorr;&sweep;&b;&b;&dch -f;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4611	8254	0
238	&scorr;&sweep;&dch;&syn3;&dch;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4756	8254	0
239	&scorr;&sweep;&synch2;&syn3;&dch;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4781	8254	0
240	&scorr;&sweep;&syn4;&if -W 300 -g -K 6;&syn2;&if -W 300 -K 6 -v;&mfs;&st;&dc2;&dch;&dch;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4853	8254	0
241	&scorr;&sweep;&if -W 300 -x -K 6;&dch -f;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4569	8254	0
242	&scorr;&sweep;&dc2;&dc2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4580	8254	0
243	&scorr;&sweep;&if -W 300 -g -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4622	8254	0
244	&scorr;&sweep;&dch -f;&dch;&dc2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4576	8254	0
245	&scorr;&sweep;&syn3;&dc2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4843	8254	0
246	&scorr;&sweep;&syn2;&syn4;&syn3;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4648	8254	0
247	&scorr;&sweep;&if -W 300 -g -K 6;&if -W 300 -y -K 6;&dch;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&if -W 300 -y -K 6;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&b;&syn2;&if -W 300 -K 6 -v;&mfs;						
248	&scorr;&sweep;&b;&if -W 300 -x -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4640	8254	0
249	&scorr;&sweep;&dch -f;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&syn2;&syn4;&b;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4660	8254	0
250	&scorr;&sweep;&dch -f;&dch -f;&syn2;&if -W 300 -K 6 -v;&mfs;&st;&synch2;&b;&dc2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4828	8254	0
251	&scorr;&sweep;&synch2;&syn3;&dch -f;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4783	8254	0
252	&scorr;&sweep;&if -W 300 -y -K 6;&syn3;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&dch -f;&dch;&syn2;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&syn4;&syn4;&if -W 300 -K 6 -v;&mfs;&st;&dch;&synch2;&syn2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4791	8254	0
253	&scorr;&sweep;&syn2;&if -W 300 -g -K 6;&b;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&dch;&syn2;&dch;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4790	8254	0
254	&scorr;&sweep;&dc2;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4593	8254	0
255	&scorr;&sweep;&dch;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4561	8254	0
256	&scorr;&sweep;&if -W 300 -g -K 6;&b;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4735	8254	0
257	&scorr;&sweep;&synch2;&syn3;&dch;&if -W 300 -K 6 -v;&mfs;&st;&b;&if -W 300 -g -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4785	8254	0
258	&scorr;&sweep;&synch2;&syn2;&dc2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4837	8254	0
259	&scorr;&sweep;&dch -f;&b -d;&syn3;&if -W 300 -K 6 -v;&mfs;&st;&dch;&syn2;&dch;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4773	8254	0
260	&scorr;&sweep;&syn4;&if -W 300 -y -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4806	8254	0
261	&scorr;&sweep;&if -W 300 -y -K 6;&b -d;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&syn2;&b;&if -W 300 -K 6 -v;&mfs;						
262	&scorr;&sweep;&syn4;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4814	8254	0
263	&scorr;&sweep;&syn3;&dc2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4843	8254	0
264	&scorr;&sweep;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4566	8254	0
265	&scorr;&sweep;&syn4;&if -W 300 -g -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4814	8254	0
266	&scorr;&sweep;&syn2;&if -W 300 -x -K 6;&b;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4641	8254	0
267	&scorr;&sweep;&syn3;&dch;&syn3;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4664	8254	0
268	&scorr;&sweep;&if -W 300 -y -K 6;&b -d;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&syn4;&dc2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4783	8254	0
269	&scorr;&sweep;&if -W 300 -x -K 6;&synch2;&syn2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4785	8254	0
270	&scorr;&sweep;&synch2;&b;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&dc2;&dc2;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4804	8254	0
271	&scorr;&sweep;&syn2;&syn4;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&syn2;&syn2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;&st;&dch;&if -W 300 -y -K 6;&b;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4809	8254	0
272	&scorr;&sweep;&syn4;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&synch2;&syn2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4777	8254	0
273	&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&syn2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4641	8254	0
274	&scorr;&sweep;&b;&dc2;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&syn2;&syn4;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4734	8254	0
275	&scorr;&sweep;&if -W 300 -y -K 6;&syn4;&synch2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4696	8254	0
