Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
339	&scorr;&sweep;&syn4;&synch2;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&b;&if -W 300 -K 6 -v;&mfs;										1170	    660
340	&scorr;&sweep;&syn2;&if -W 300 -x -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;	2.924	0.999(35%)	1.925(65%)	35	695	0	695	703	703	1205	    668
341	&scorr;&sweep;&dc2;&syn3;&dch -f;&if -W 300 -K 6 -v;&mfs;	3.218	0.999(32%)	2.219(68%)	32	669	0	669	703	703	1508	    641
342	&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	2.830	0.875(31%)	1.955(69%)	31	670	0	670	703	703	1205	    641
343	&scorr;&sweep;&dch;&syn2;&b;&if -W 300 -K 6 -v;&mfs;	2.828	0.875(31%)	1.953(69%)	31	666	0	666	703	703	1205	    637
344	&scorr;&sweep;&dch -f;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	2.938	0.999(35%)	1.939(65%)	35	672	0	672	703	703	1205	    647
345	&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -y -K 6;&if -W 300 -x -K 6;&dch;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -y -K 6;&syn2;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	2.832	0.875(31%)	1.957(69%)	31	653	0	653	703	703	1205	    625
346	&scorr;&sweep;&if -W 300 -x -K 6;&b -d;&syn4;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&synch2;&dch -f;&if -W 300 -K 6 -v;&mfs;	2.824	0.875(31%)	1.949(69%)	31	656	0	656	703	703	1205	    628
347	&scorr;&sweep;&syn3;&dch;&b;&if -W 300 -K 6 -v;&mfs;&st;&dch;&b -d;&syn2;&if -W 300 -K 6 -v;&mfs;	2.831	0.875(31%)	1.956(69%)	31	662	0	662	703	703	1205	    633
348	&scorr;&sweep;&syn4;&dc2;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&synch2;&syn4;&syn4;&if -W 300 -K 6 -v;&mfs;										1169	    664
