Sequence	PathDelay
strash;resub -K 8;resub -K 8;resub -K 8;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8193
strash;dc2;resub -K 8;resub -K 8;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8287
strash;rewrite;dc2;resub -K 8;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8164
strash;rewrite -z;dc2;resub -K 8;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8353
strash;refactor;dc2;refactor;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8285
strash;refactor;dc2;resub -K 8;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8388
strash;refactor -z;dc2;resub -K 8;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8390
strash;resub -K 8;dc2;resub -K 8;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	7800
strash;dc2;dc2;resub -K 8;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	7800
strash;rewrite;rewrite;dc2;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8183
strash;rewrite -z;rewrite;dc2;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8353
strash;refactor;rewrite;dc2;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8186
strash;refactor -z;rewrite;dc2;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	7800
strash;resub -K 8;rewrite;dc2;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	7800
strash;dc2;rewrite;dc2;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	7800
strash;refactor -z;dc2;refactor;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8161
strash;rewrite;rewrite -z;dc2;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8173
strash;rewrite -z;rewrite -z;dc2;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8191
strash;refactor;rewrite -z;dc2;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8365
strash;refactor -z;rewrite -z;dc2;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8313
strash;resub -K 8;rewrite -z;dc2;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	7800
strash;dc2;rewrite -z;dc2;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8436
