Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
438	&scorr;&sweep;&b;&dch;&b;&if -W 300 -K 6 -v;&mfs;	23.490	8.125(35%)	15.365(65%)	35	13234	85	13149	4511	1680	3628	  12798
439	&scorr;&sweep;&dch;&synch2;&dch -f;&if -W 300 -K 6 -v;&mfs;	18.227	6.379(35%)	11.848(65%)	35	12891	85	12806	4511	1680	3388	  12329
440	&scorr;&sweep;&dch;&syn3;&syn4;&if -W 300 -K 6 -v;&mfs;	24.708	7.924(33%)	16.784(67%)	33	12931	85	12846	4511	1680	3629	  12344
441	&scorr;&sweep;&dch -f;&if -W 300 -g -K 6;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&if -W 300 -K 6 -v;&mfs;										1771	  16440
442	&scorr;&sweep;&b;&synch2;&dch -f;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&syn4;&b;&if -W 300 -K 6 -v;&mfs;&st;&dch;&syn2;&syn2;&if -W 300 -K 6 -v;&mfs;&st;&b;&if -W 300 -y -K 6;&b -d;&if -W 300 -K 6 -v;&mfs;										1771	  16525
443	&scorr;&sweep;&if -W 300 -g -K 6;&if -W 300 -x -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&syn4;&b -d;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&synch2;&if -W 300 -g -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;										1771	  15310
444	&scorr;&sweep;&syn2;&syn3;&if -W 300 -K 6 -v;&mfs;	21.343	7.218(34%)	14.125(66%)	34	12757	85	12672	4511	1680	3325	  12325
445	&scorr;&sweep;&synch2;&b;&dch -f;&if -W 300 -K 6 -v;&mfs;	19.741	6.711(34%)	13.030(66%)	34	12804	85	12719	4511	1680	3388	  12300
446	&scorr;&sweep;&if -W 300 -g -K 6;&b;&b -d;&if -W 300 -K 6 -v;&mfs;										1789	  15825
447	&scorr;&sweep;&syn4;&if -W 300 -y -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;&st;&syn4;&syn4;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	21.952	7.342(34%)	14.610(66%)	34	12837	85	12752	4511	1680	2884	  12190
448	&scorr;&sweep;&b;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	23.186	7.874(34%)	15.312(66%)	34	12924	85	12839	4511	1680	3628	  12401
449	&scorr;&sweep;&synch2;&syn4;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.398	7.173(36%)	13.225(64%)	36	12987	85	12902	4511	1680	3084	  12588
450	&scorr;&sweep;&syn3;&if -W 300 -g -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	19.562	6.907(36%)	12.655(64%)	36	13045	85	12960	4511	1680	3083	  12578
451	&scorr;&sweep;&syn2;&syn4;&syn3;&if -W 300 -K 6 -v;&mfs;	22.349	7.466(34%)	14.883(66%)	34	12845	85	12760	4511	1680	3325	  12395
452	&scorr;&sweep;&if -W 300 -y -K 6;&dc2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	17.813	6.456(37%)	11.357(63%)	37	13834	85	13749	4511	1680	3085	  13316
