Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
701	&scorr;&sweep;&b -d;&syn4;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	19.102	4.276(23%)	14.826(77%)	23	7721	0	7721	2784	0	2414	   7286
702	&scorr;&sweep;&synch2;&dch;&if -W 300 -K 6 -v;&mfs;	20.141	4.595(23%)	15.546(77%)	23	7289	0	7289	2784	0	2414	   7260
703	&scorr;&sweep;&if -W 300 -x -K 6;&syn4;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	19.397	4.276(23%)	15.121(77%)	23	7736	0	7736	2784	0	2414	   7182
704	&scorr;&sweep;&if -W 300 -g -K 6&syn4&if -W 300 -g -K 6&if -W 300 -K 6 -v;&mfs;	24.612	5.463(23%)	19.149(77%)	23	7330	0	7330	2784	0	2415	   7378
705	&scorr;&sweep;&if -W 300 -y -K 6;&syn4;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	17.737	4.099(24%)	13.638(76%)	24	7761	0	7761	2784	0	2414	   7243
706	&scorr;&sweep;&synch2;&syn4;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.172	4.158(21%)	16.014(79%)	21	7628	0	7628	2784	0	2883	   7455
707	&scorr;&sweep;&dch;&syn4;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.035	4.764(24%)	15.271(76%)	24	7622	0	7622	2784	0	2414	   7179
708	&scorr;&sweep;&dch -f;&syn4;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	19.258	4.458(24%)	14.800(76%)	24	7476	0	7476	2784	0	2414	   7223
709	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&syn4;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	19.399	4.223(22%)	15.176(78%)	22	7766	0	7766	2784	0	1533	   8133
710	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&syn4;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	19.993	4.471(23%)	15.522(77%)	23	7824	0	7824	2784	0	1533	   7793
711	&scorr;&sweep;&dc2;&b;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	22.887	4.967(22%)	17.920(78%)	22	7422	0	7422	2784	0	1533	   7810
712	&scorr;&sweep;&syn2;&b;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	21.184	4.719(23%)	16.465(77%)	23	7279	0	7279	2784	0	1533	   8340
713	&scorr;&sweep;&dch;&dch;&if -W 300 -K 6 -v;&mfs;	23.437	4.967(22%)	18.470(78%)	22	7446	0	7446	2784	0	1533	   7902
714	&scorr;&sweep;&syn3;&b;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	22.582	4.967(22%)	17.615(78%)	22	7312	0	7312	2784	0	1533	   7876
715	&scorr;&sweep;&syn4;&b;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	18.812	4.295(23%)	14.517(77%)	23	7719	0	7719	2784	0	1533	   7875
716	&scorr;&sweep;&b;&b;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	21.852	4.719(22%)	17.133(78%)	22	7314	0	7314	2784	0	   7912
717	&scorr;&sweep;&b -d;&b;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	22.276	4.843(22%)	17.433(78%)	22	7339	0	7339	2784	0	2878	   7291
718	&scorr;&sweep;&if -W 300 -x -K 6;&b;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	22.776	4.843(22%)	17.933(78%)	22	7310	0	7310	2784	0	1533	   7991
719	&scorr;&sweep;&if -W 300 -g -K 6&b&if -W 300 -g -K 6&if -W 300 -K 6 -v;&mfs;	24.612	5.463(23%)	19.149(77%)	23	7330	0	7330	2784	0	1533	   7937
720	&scorr;&sweep;&if -W 300 -y -K 6;&b;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	24.400	5.339(22%)	19.061(78%)	22	7271	0	7271	2784	0	1533	   8305
721	&scorr;&sweep;&synch2;&b;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	19.831	4.347(22%)	15.484(78%)	22	7232	0	7232	2784	0	1533	   8175
722	&scorr;&sweep;&dch;&b;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	22.190	4.843(22%)	17.347(78%)	22	7435	0	7435	2784	0	1533	   7771
723	&scorr;&sweep;&dch -f;&b;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	21.774	4.719(22%)	17.055(78%)	22	7311	0	7311	2784	0	1533	   7815
724	&scorr;&sweep;&dch -f;&dch;&if -W 300 -K 6 -v;&mfs;	23.885	5.215(22%)	18.670(78%)	22	7361	0	7361	2784	0	2414	   7320
725	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&b;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	22.907	4.967(22%)	17.940(78%)	22	7224	0	7224	2784	0	2414	   7238
726	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&b;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	22.163	4.719(22%)	17.444(78%)	22	7255	0	7255	2784	0	2414	   7236
727	&scorr;&sweep;&dc2;&b -d;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;										2414	   7701
728	&scorr;&sweep;&syn2;&b -d;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;										2878	   7305
