Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_Delay_Percentage	Slice_LUTs	LUT_as_Logic	LUT_as_Memory	RegsFF	RegsLatch	ABC_Delay	ABC_Area
12849	"&scorr;&sweep;&dch -f;&if -W 300 -x -K 6;&if -W 300 -y -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;
"	18.678	6.598	12.080	36	13171	13086	46200	4511	1680	3084.00	12567.0
13360	"&scorr;&sweep;&b;&syn2;&dch -f;&syn4;&if -W 300 -K 6 -v;&mfs;
"	25.996	8.479	17.517	33	13047	12962	46200	4511	1680	3326.00	12538.0
6527	"&scorr;&sweep;&syn4;&syn4;&b;&syn2;&if -W 300 -K 6 -v;&mfs;
"	22.147	7.466	14.681	34	12890	12805	46200	4511	1680	3325.00	12340.0
18117	"&scorr;&sweep;&syn2;&b -d;&if -W 300 -g -K 6;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1790.00	16634.0
11274	"&scorr;&sweep;&b;&if -W 300 -x -K 6;&dc2;&syn4;&if -W 300 -K 6 -v;&mfs;
"	23.184	7.590	15.594	33	13159	13074	46200	4511	1680	3084.00	12704.0
5782	"&scorr;&sweep;&dc2;&if -W 300 -x -K 6;&dc2;&syn2;&if -W 300 -K 6 -v;&mfs;
"	18.999	6.704	12.295	36	13187	13102	46200	4511	1680	3084.00	12616.0
5538	"&scorr;&sweep;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&st;&dc2;&if -W 300 -K 6 -v;&mfs;
"	19.284	6.828	12.456	36	13064	12979	46200	4511	1680	3085.00	12525.0
6155	"&scorr;&sweep;&synch2;&b;&syn3;&syn2;&if -W 300 -K 6 -v;&mfs;
"	20.908	7.331	13.577	36	12896	12811	46200	4511	1680	3084.00	12459.0
14417	"&scorr;&sweep;&dch -f;&if -W 300 -x -K 6;&syn3;&b;&if -W 300 -K 6 -v;&mfs;
"	21.189	7.076	14.113	34	12841	12756	46200	4511	1680	3082.00	12265.0
9585	"&scorr;&sweep;&synch2;&dch -f;&b -d;&syn3;&if -W 300 -K 6 -v;&mfs;
"	22.191	7.545	14.646	35	12921	12836	46200	4511	1680	3388.00	12447.0
17661	"&scorr;&sweep;&if -W 300 -g -K 6;&dc2;&b -d;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1790.00	16707.0
13188	"&scorr;&sweep;&dc2;&syn4;&dch;&syn4;&if -W 300 -K 6 -v;&mfs;
"	27.169	8.752	18.417	33	13436	13351	46200	4511	1680	3629.00	12827.0
8953	"&scorr;&sweep;&if -W 300 -g -K 6;&if -W 300 -y -K 6;&syn3;&syn3;&if -W 300 -K 6 -v;&mfs;
"	21.349	7.200	14.149	34	12922	12837	46200	4511	1680	3082.00	12436.0
4392	"&scorr;&sweep;&dch;&b;&if -W 300 -g -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;
"	18.222	6.273	11.949	35	13256	13171	46200	4511	1680	3085.00	12701.0
20777	"&scorr;&sweep;&syn2;&if -W 300 -K 6 -v;&st;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"	20.731	6.783	13.948	33	13186	13101	46200	4511	1680	3083.00	12703.0
7585	"&scorr;&sweep;&dch -f;&if -W 300 -y -K 6;&synch2;&syn2;&if -W 300 -K 6 -v;&mfs;
"	18.611	6.729	11.882	37	12897	12812	46200	4511	1680	3083.00	12349.0
8883	"&scorr;&sweep;&if -W 300 -g -K 6;&syn4;&syn3;&syn3;&if -W 300 -K 6 -v;&mfs;
"	20.664	7.173	13.491	35	12669	12584	46200	4511	1680	3083.00	12261.0
18243	"&scorr;&sweep;&syn2;&dc2;&if -W 300 -y -K 6;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1790.00	16343.0
5926	"&scorr;&sweep;&b;&syn3;&syn2;&syn2;&if -W 300 -K 6 -v;&mfs;
"	22.163	7.563	14.600	35	12823	12738	46200	4511	1680	3325.00	12361.0
5040	"&scorr;&sweep;&dc2;&synch2;&dch;&dc2;&if -W 300 -K 6 -v;&mfs;
"	18.688	6.659	12.029	36	13175	13090	46200	4511	1680	3388.00	12641.0
12259	"&scorr;&sweep;&synch2;&if -W 300 -x -K 6;&b -d;&syn4;&if -W 300 -K 6 -v;&mfs;
"	21.686	7.349	14.337	34	13133	13048	46200	4511	1680	3084.00	12659.0
16088	"&scorr;&sweep;&syn3;&dc2;&dch -f;&b;&if -W 300 -K 6 -v;&mfs;
"	24.822	8.249	16.573	34	12840	12755	46200	4511	1680	3628.00	12311.0
20638	"&scorr;&sweep;&syn3;&syn4;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"	20.869	7.094	13.775	34	12982	12897	46200	4511	1680	3083.00	12536.0
17658	"&scorr;&sweep;&b;&dc2;&b -d;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1843.00	16974.0
7114	"&scorr;&sweep;&syn3;&syn4;&if -W 300 -g -K 6;&syn2;&if -W 300 -K 6 -v;&mfs;
"	23.325	7.811	15.514	34	12847	12762	46200	4511	1680	3325.00	12370.0
20697	"&scorr;&sweep;&b -d;&if -W 300 -g -K 6;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"										1789.00	18005.0
913	"&scorr;&sweep;&syn4;&if -W 300 -y -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;
"	22.366	7.545	14.821	34	13154	13069	46200	4511	1680	3084.00	12617.0
10504	"&scorr;&sweep;&b;&if -W 300 -g -K 6;&dch;&syn3;&if -W 300 -K 6 -v;&mfs;
"	22.683	7.590	15.093	34	13063	12978	46200	4511	1680	3085.00	12632.0
7139	"&scorr;&sweep;&if -W 300 -K 6 -v;&st;&b;&if -W 300 -g -K 6;&syn2;&if -W 300 -K 6 -v;&mfs;
"	18.965	6.722	12.243	36	12888	12803	46200	4511	1680	3084.00	12407.0
11818	"&scorr;&sweep;&syn3;&syn4;&syn4;&syn4;&if -W 300 -K 6 -v;&mfs;
"	23.652	7.590	16.062	33	13161	13076	46200	4511	1680	3629.00	12674.0
20136	"&scorr;&sweep;&b;&synch2;&syn4;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"	22.487	7.342	15.145	33	13101	13016	46200	4511	1680	3083.00	12644.0
17927	"&scorr;&sweep;&if -W 300 -g -K 6;&b -d;&if -W 300 -x -K 6;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	17508.0
607	"&scorr;&sweep;&b -d;&dc2;&syn3;&if -W 300 -K 6 -v;&mfs;
"	23.646	8.132	15.514	35	13502	13417	46200	4511	1680	3628.00	13066.0
8131	"&scorr;&sweep;&dch -f;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&syn2;&if -W 300 -K 6 -v;&mfs;
"										1843.00	18011.0
17389	"&scorr;&sweep;&syn2;&synch2;&syn4;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	18050.0
15998	"&scorr;&sweep;&dch;&if -W 300 -g -K 6;&dch;&b;&if -W 300 -K 6 -v;&mfs;
"	19.161	6.686	12.475	35	13209	13124	46200	4511	1680	3085.00	12704.0
14398	"&scorr;&sweep;&if -W 300 -x -K 6;&b -d;&syn3;&b;&if -W 300 -K 6 -v;&mfs;
"	19.414	6.853	12.561	36	13074	12989	46200	4511	1680	3083.00	12598.0
11238	"&scorr;&sweep;&dch;&syn4;&dc2;&syn4;&if -W 300 -K 6 -v;&mfs;
"	25.934	8.172	17.762	32	13499	13414	46200	4511	1680	3629.00	12914.0
11432	"&scorr;&sweep;&if -W 300 -y -K 6;&syn4;&syn2;&syn4;&if -W 300 -K 6 -v;&mfs;
"	22.946	7.669	15.277	34	13191	13106	46200	4511	1680	3084.00	12642.0
5727	"&scorr;&sweep;&syn2;&syn3;&dc2;&syn2;&if -W 300 -K 6 -v;&mfs;
"	26.356	8.621	17.735	33	12568	12483	46200	4511	1680	3325.00	12072.0
18589	"&scorr;&sweep;&dch -f;&dch;&synch2;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	17256.0
18142	"&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1771.00	18988.0
3688	"&scorr;&sweep;&if -W 300 -x -K 6;&dch;&syn4;&dc2;&if -W 300 -K 6 -v;&mfs;
"	20.125	6.942	13.183	35	13787	13702	46200	4511	1680	3086.00	13213.0
5510	"&scorr;&sweep;&if -W 300 -y -K 6;&dc2;&if -W 300 -K 6 -v;&st;&dc2;&if -W 300 -K 6 -v;&mfs;
"	19.192	6.846	12.346	36	13725	13640	46200	4511	1680	3085.00	13198.0
18897	"&scorr;&sweep;&dch -f;&b;&dch -f;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1843.00	15942.0
14162	"&scorr;&sweep;&if -W 300 -y -K 6;&syn3;&syn2;&b;&if -W 300 -K 6 -v;&mfs;
"	21.708	7.349	14.359	34	12840	12755	46200	4511	1680	3082.00	12364.0
20130	"&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -y -K 6;&syn4;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"	18.292	6.456	11.836	36	13278	13193	46200	4511	1680	2883.00	12637.0
17845	"&scorr;&sweep;&synch2;&if -W 300 -K 6 -v;&st;&b -d;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1790.00	15376.0
12128	"&scorr;&sweep;&b;&dch -f;&b;&syn4;&if -W 300 -K 6 -v;&mfs;
"	27.044	8.621	18.423	32	13234	13149	46200	4511	1680	3629.00	12726.0
8980	"&scorr;&sweep;&if -W 300 -x -K 6;&dch;&syn3;&syn3;&if -W 300 -K 6 -v;&mfs;
"	19.850	6.970	12.880	36	12975	12890	46200	4511	1680	3084.00	12424.0
8991	"&scorr;&sweep;&syn4;&dch -f;&syn3;&syn3;&if -W 300 -K 6 -v;&mfs;
"	27.570	8.869	18.701	33	13255	13170	46200	4511	1680	3630.00	12652.0
5016	"&scorr;&sweep;&b;&if -W 300 -g -K 6;&dch;&dc2;&if -W 300 -K 6 -v;&mfs;
"	19.972	7.173	12.799	36	13305	13220	46200	4511	1680	3084.00	12898.0
2034	"&scorr;&sweep;&b;&b;&synch2;&if -W 300 -K 6 -v;&mfs;
"	19.275	7.056	12.219	37	12738	12653	46200	4511	1680	3385.00	12265.0
14302	"&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;&st;&syn2;&b;&if -W 300 -K 6 -v;&mfs;
"	19.242	6.580	12.662	35	12873	12788	46200	4511	1680	2884.00	12224.0
19930	"&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -y -K 6;&syn3;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"	19.375	6.922	12.453	36	13155	13070	46200	4511	1680	3083.00	12651.0
13824	"&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&st;&syn4;&if -W 300 -K 6 -v;&mfs;
"	17.693	6.553	11.140	38	13354	13269	46200	4511	1680	3084.00	12839.0
8146	"&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&syn2;&if -W 300 -K 6 -v;&mfs;
"	17.725	6.481	11.244	37	12983	12898	46200	4511	1680	2884.00	12348.0
16955	"&scorr;&sweep;&syn2;&if -W 300 -x -K 6;&syn2;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	15142.0
9450	"&scorr;&sweep;&dc2;&syn3;&b -d;&syn3;&if -W 300 -K 6 -v;&mfs;
"	23.760	8.132	15.628	35	12927	12842	46200	4511	1680	3628.00	12376.0
1783	"&scorr;&sweep;&b -d;&dc2;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;
"	17.093	6.463	10.630	38	14088	14003	46200	4511	1680	3084.00	13724.0
5689	"&scorr;&sweep;&b -d;&if -W 300 -K 6 -v;&st;&if -W 300 -K 6 -v;&st;&dc2;&if -W 300 -K 6 -v;&mfs;
"										1843.00	17697.0
5461	"&scorr;&sweep;&syn2;&dch -f;&if -W 300 -K 6 -v;&mfs;&st;&dc2;&if -W 300 -K 6 -v;&mfs;
"	23.415	8.001	15.414	35	13125	13040	46200	4511	1680	3324.00	12483.0
14113	"&scorr;&sweep;&syn2;&if -W 300 -K 6 -v;&st;&dc2;&b;&if -W 300 -K 6 -v;&mfs;
"	25.108	8.380	16.728	34	12887	12802	46200	4511	1680	3325.00	12431.0
8451	"&scorr;&sweep;&synch2;&dc2;&dc2;&syn3;&if -W 300 -K 6 -v;&mfs;
"	20.745	7.297	13.448	36	13035	12950	46200	4511	1680	3386.00	12610.0
18128	"&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&if -W 300 -g -K 6;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1772.00	18898.0
1821	"&scorr;&sweep;&syn2;&syn4;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;
"	20.780	6.927	13.853	34	13214	13129	46200	4511	1680	3082.00	12817.0
1105	"&scorr;&sweep;&if -W 300 -K 6 -v;&st;&if -W 300 -g -K 6;&b;&if -W 300 -K 6 -v;&mfs;
"	18.374	6.598	11.776	36	13384	13299	46200	4511	1680	3083.00	13095.0
18144	"&scorr;&sweep;&dc2;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1790.00	16131.0
20397	"&scorr;&sweep;&if -W 300 -K 6 -v;&st;&if -W 300 -K 6 -v;&st;&b;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"	17.487	6.535	10.952	38	13256	13171	46200	4511	1680	3083.00	12905.0
1875	"&scorr;&sweep;&if -W 300 -K 6 -v;&st;&if -W 300 -x -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;
"	17.639	6.208	11.431	36	14159	14074	46200	4511	1680	3083.00	13719.0
12914	"&scorr;&sweep;&if -W 300 -x -K 6;&dch -f;&if -W 300 -y -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;
"	18.822	6.711	12.111	36	13380	13295	46200	4511	1680	3085.00	12806.0
20282	"&scorr;&sweep;&dch;&b -d;&b;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"	18.181	6.659	11.522	37	13028	12943	46200	4511	1680	3086.00	12494.0
10987	"&scorr;&sweep;&dch -f;&if -W 300 -K 6 -v;&st;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&if -W 300 -K 6 -v;&mfs;
"	22.524	7.428	15.096	33	12773	12688	46200	4511	1680	3627.00	12125.0
8379	"&scorr;&sweep;&if -W 300 -g -K 6;&synch2;&if -W 300 -K 6 -v;&st;&syn2;&if -W 300 -K 6 -v;&mfs;
"	19.191	6.846	12.345	36	12938	12853	46200	4511	1680	3082.00	12375.0
812	"&scorr;&sweep;&dc2;&syn2;&syn4;&if -W 300 -K 6 -v;&mfs;
"	24.890	8.048	16.842	33	13185	13100	46200	4511	1680	3326.00	12640.0
11565	"&scorr;&sweep;&syn2;&if -W 300 -K 6 -v;&st;&syn2;&syn4;&if -W 300 -K 6 -v;&mfs;
"	22.440	7.342	15.098	33	13119	13034	46200	4511	1680	3325.00	12674.0
14240	"&scorr;&sweep;&syn3;&if -W 300 -y -K 6;&syn2;&b;&if -W 300 -K 6 -v;&mfs;
"	20.805	7.094	13.711	35	12699	12614	46200	4511	1680	3083.00	12227.0
16706	"&scorr;&sweep;&b;&syn3;&dc2;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1843.00	15323.0
4044	"&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&b -d;&dc2;&if -W 300 -K 6 -v;&mfs;
"	17.709	7.311	10.398	42	13976	13891	46200	4511	1680	2883.00	13366.0
19485	"&scorr;&sweep;&dch -f;&b;&dc2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"	19.768	6.970	12.798	36	13150	13065	46200	4511	1680	3084.00	12601.0
17548	"&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&b;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	15773.0
4169	"&scorr;&sweep;&dch -f;&syn3;&if -W 300 -x -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;
"	18.717	6.711	12.006	36	13064	12979	46200	4511	1680	3085.00	12526.0
8066	"&scorr;&sweep;&syn3;&syn2;&if -W 300 -K 6 -v;&mfs;&st;&syn2;&if -W 300 -K 6 -v;&mfs;
"	22.088	7.324	14.764	34	12615	12530	46200	4511	1680	2884.00	11958.0
5516	"&scorr;&sweep;&dc2;&syn2;&if -W 300 -K 6 -v;&st;&dc2;&if -W 300 -K 6 -v;&mfs;
"	23.075	7.676	15.399	34	13069	12984	46200	4511	1680	3325.00	12543.0
9490	"&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&b;&b -d;&syn3;&if -W 300 -K 6 -v;&mfs;
"	19.753	6.846	12.907	35	12657	12572	46200	4511	1680	3187.00	12017.0
5092	"&scorr;&sweep;&dch;&if -W 300 -K 6 -v;&mfs;&st;&dch;&dc2;&if -W 300 -K 6 -v;&mfs;
"	21.110	7.505	13.605	36	13166	13081	46200	4511	1680	3627.00	12564.0
17805	"&scorr;&sweep;&dch -f;&dch;&b -d;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1843.00	16372.0
20960	"&scorr;&sweep;&syn3;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"	19.936	6.977	12.959	35	12933	12848	46200	4511	1680	2883.00	12277.0
10026	"&scorr;&sweep;&syn3;&syn2;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;
"	21.810	7.141	14.669	33	12710	12625	46200	4511	1680	3082.00	12280.0
15990	"&scorr;&sweep;&syn3;&if -W 300 -g -K 6;&dch;&b;&if -W 300 -K 6 -v;&mfs;
"	20.320	7.162	13.158	36	12977	12892	46200	4511	1680	3084.00	12467.0
17814	"&scorr;&sweep;&if -W 300 -x -K 6;&dch -f;&b -d;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1790.00	16944.0
1237	"&scorr;&sweep;&b -d;&syn4;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1843.00	16208.0
18330	"&scorr;&sweep;&b;&if -W 300 -x -K 6;&if -W 300 -y -K 6;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	16411.0
9048	"&scorr;&sweep;&b;&syn2;&syn4;&syn3;&if -W 300 -K 6 -v;&mfs;
"	22.703	7.590	15.113	34	12950	12865	46200	4511	1680	3325.00	12503.0
18122	"&scorr;&sweep;&if -W 300 -x -K 6;&b -d;&if -W 300 -g -K 6;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	17176.0
5381	"&scorr;&sweep;&b -d;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&dc2;&if -W 300 -K 6 -v;&mfs;
"										1843.00	17589.0
4674	"&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&dch;&if -W 300 -y -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;
"	18.455	6.808	11.647	37	13182	13097	46200	4511	1680	2883.00	12600.0
12935	"&scorr;&sweep;&if -W 300 -K 6 -v;&st;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -y -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;
"	18.314	6.677	11.637	37	13217	13132	46200	4511	1680	2883.00	12604.0
7068	"&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -K 6 -v;&st;&if -W 300 -x -K 6;&syn2;&if -W 300 -K 6 -v;&mfs;
"	18.093	6.481	11.612	36	13051	12966	46200	4511	1680	2884.00	12407.0
966	"&scorr;&sweep;&dc2;&if -W 300 -K 6 -v;&mfs;&st;&syn4;&if -W 300 -K 6 -v;&mfs;
"	22.904	7.552	15.352	33	13219	13134	46200	4511	1680	3628.00	12580.0
317	"&scorr;&sweep;&synch2;&if -W 300 -g -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;
"	19.352	6.835	12.517	36	13284	13199	46200	4511	1680	3084.00	12903.0
17149	"&scorr;&sweep;&if -W 300 -K 6 -v;&st;&b -d;&syn3;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	15322.0
2425	"&scorr;&sweep;&syn4;&b;&dch -f;&if -W 300 -K 6 -v;&mfs;
"	24.077	8.132	15.945	34	12844	12759	46200	4511	1680	3628.00	12237.0
10842	"&scorr;&sweep;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&if -W 300 -K 6 -v;&mfs;
"	20.484	7.173	13.311	36	12701	12616	46200	4511	1680	2862.00	12041.0
7519	"&scorr;&sweep;&syn2;&b;&synch2;&syn2;&if -W 300 -K 6 -v;&mfs;
"	20.261	7.076	13.185	35	12833	12748	46200	4511	1680	3083.00	12388.0
17216	"&scorr;&sweep;&dch;&dch;&syn3;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1844.00	15682.0
5928	"&scorr;&sweep;&if -W 300 -x -K 6;&syn3;&syn2;&syn2;&if -W 300 -K 6 -v;&mfs;
"	20.413	7.094	13.319	35	12900	12815	46200	4511	1680	3082.00	12405.0
20167	"&scorr;&sweep;&if -W 300 -g -K 6;&dch -f;&syn4;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"	20.107	6.846	13.261	35	13379	13294	46200	4511	1680	3084.00	12794.0
9954	"&scorr;&sweep;&dc2;&dch;&if -W 300 -g -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;
"	19.169	6.846	12.323	36	13075	12990	46200	4511	1680	3084.00	12508.0
11880	"&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&syn4;&syn4;&if -W 300 -K 6 -v;&mfs;
"	22.547	7.466	15.081	34	13121	13036	46200	4511	1680	3083.00	12601.0
12342	"&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&syn4;&if -W 300 -K 6 -v;&mfs;
"	17.829	6.474	11.355	37	13249	13164	46200	4511	1680	2884.00	12600.0
1562	"&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"	17.281	6.481	10.800	38	13856	13771	46200	4511	1680	2884.00	13246.0
15802	"&scorr;&sweep;&dch;&if -W 300 -g -K 6;&synch2;&b;&if -W 300 -K 6 -v;&mfs;
"	19.263	6.634	12.629	35	12951	12866	46200	4511	1680	3083.00	12396.0
6166	"&scorr;&sweep;&if -W 300 -x -K 6;&b -d;&syn3;&syn2;&if -W 300 -K 6 -v;&mfs;
"	20.003	6.853	13.150	35	13037	12952	46200	4511	1680	3083.00	12549.0
6756	"&scorr;&sweep;&if -W 300 -y -K 6;&b -d;&b -d;&syn2;&if -W 300 -K 6 -v;&mfs;
"	19.402	6.729	12.673	35	13360	13275	46200	4511	1680	3083.00	12908.0
17352	"&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&syn4;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	15494.0
598	"&scorr;&sweep;&dch;&if -W 300 -K 6 -v;&st;&syn2;&if -W 300 -K 6 -v;&mfs;
"	22.202	7.753	14.449	35	12757	12672	46200	4511	1680	3325.00	12192.0
6603	"&scorr;&sweep;&synch2;&if -W 300 -y -K 6;&b;&syn2;&if -W 300 -K 6 -v;&mfs;
"	20.849	7.101	13.748	35	13007	12922	46200	4511	1680	3084.00	12505.0
17733	"&scorr;&sweep;&synch2;&b -d;&b -d;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	17623.0
1597	"&scorr;&sweep;&syn2;&syn2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;
"	20.136	6.729	13.407	34	12998	12913	46200	4511	1680	3083.00	12547.0
4225	"&scorr;&sweep;&dch -f;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;
"	18.584	6.722	11.862	37	13499	13414	46200	4511	1680	3084.00	12930.0
10346	"&scorr;&sweep;&dc2;&dch;&synch2;&syn3;&if -W 300 -K 6 -v;&mfs;
"	19.168	6.808	12.360	36	12928	12843	46200	4511	1680	3387.00	12375.0
3320	"&scorr;&sweep;&syn3;&if -W 300 -K 6 -v;&mfs;&st;&syn2;&dc2;&if -W 300 -K 6 -v;&mfs;
"	20.721	7.137	13.584	35	12819	12734	46200	4511	1680	2883.00	12178.0
13037	"&scorr;&sweep;&syn4;&if -W 300 -x -K 6;&synch2;&syn4;&if -W 300 -K 6 -v;&mfs;
"	21.649	7.421	14.228	35	13131	13046	46200	4511	1680	3085.00	12581.0
20571	"&scorr;&sweep;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"										1843.00	17697.0
6858	"&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&syn2;&if -W 300 -K 6 -v;&mfs;
"	19.247	6.846	12.401	36	13072	12987	46200	4511	1680	2884.00	12402.0
18828	"&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -K 6 -v;&st;&dch;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1772.00	17787.0
12318	"&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&dch;&b -d;&syn4;&if -W 300 -K 6 -v;&mfs;
"	19.784	6.970	12.814	36	13205	13120	46200	4511	1680	3187.00	12589.0
14913	"&scorr;&sweep;&syn4;&dc2;&b -d;&b;&if -W 300 -K 6 -v;&mfs;
"	27.612	8.745	18.867	32	13658	13573	46200	4511	1680	3629.00	13109.0
19256	"&scorr;&sweep;&if -W 300 -x -K 6;&syn3;&if -W 300 -K 6 -v;&st;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	15288.0
713	"&scorr;&sweep;&if -W 300 -K 6 -v;&st;&if -W 300 -g -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;
"	19.276	6.729	12.547	35	12826	12741	46200	4511	1680	3084.00	12371.0
14962	"&scorr;&sweep;&dch;&syn4;&b -d;&b;&if -W 300 -K 6 -v;&mfs;
"	23.773	7.676	16.097	33	13156	13071	46200	4511	1680	3629.00	12574.0
9794	"&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;
"	18.518	6.456	12.062	35	12831	12746	46200	4511	1680	2884.00	12186.0
10001	"&scorr;&sweep;&b -d;&if -W 300 -K 6 -v;&st;&if -W 300 -g -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;
"										1843.00	17697.0
19249	"&scorr;&sweep;&if -W 300 -K 6 -v;&st;&syn2;&if -W 300 -K 6 -v;&st;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	15699.0
7990	"&scorr;&sweep;&dch;&synch2;&dch -f;&syn2;&if -W 300 -K 6 -v;&mfs;
"	21.516	7.342	14.174	35	12919	12834	46200	4511	1680	3085.00	12371.0
2842	"&scorr;&sweep;&dc2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&st;&if -W 300 -K 6 -v;&mfs;
"	18.620	6.553	12.067	36	13583	13498	46200	4511	1680	3084.00	13053.0
