Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_Delay_Percentage	Slice_LUTs	LUT_as_Logic	LUT_as_Memory	RegsFF	RegsLatch	ABC_Delay	ABC_Area
8102	"&scorr;&sweep;&dch;&syn4;&if -W 300 -K 6 -v;&mfs;&st;&syn2;&if -W 300 -K 6 -v;&mfs;
"	22.882	8.001	14.881	35	12890	12805	46200	4511	1680	3324.00	12247.0
7648	"&scorr;&sweep;&b;&if -W 300 -K 6 -v;&st;&synch2;&syn2;&if -W 300 -K 6 -v;&mfs;
"	20.864	7.200	13.664	35	12847	12762	46200	4511	1680	3082.00	12351.0
4383	"&scorr;&sweep;&syn2;&b;&if -W 300 -g -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;
"	21.486	7.342	14.144	35	13185	13100	46200	4511	1680	3085.00	12816.0
11664	"&scorr;&sweep;&syn3;&if -W 300 -x -K 6;&syn3;&syn4;&if -W 300 -K 6 -v;&mfs;
"	21.827	7.421	14.406	34	13038	12953	46200	4511	1680	3083.00	12575.0
2832	"&scorr;&sweep;&b;&b -d;&if -W 300 -K 6 -v;&st;&if -W 300 -K 6 -v;&mfs;
"										1843.00	16899.0
15365	"&scorr;&sweep;&if -W 300 -g -K 6;&b;&if -W 300 -g -K 6;&b;&if -W 300 -K 6 -v;&mfs;
"	17.950	6.456	11.494	36	13149	13064	46200	4511	1680	3083.00	12724.0
17882	"&scorr;&sweep;&b;&syn3;&if -W 300 -x -K 6;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	16599.0
17565	"&scorr;&sweep;&synch2;&if -W 300 -g -K 6;&b;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	14844.0
11527	"&scorr;&sweep;&b -d;&dch;&syn2;&syn4;&if -W 300 -K 6 -v;&mfs;
"	23.832	8.008	15.824	34	13585	13500	46200	4511	1680	3326.00	13072.0
10542	"&scorr;&sweep;&dc2;&dch;&dch;&syn3;&if -W 300 -K 6 -v;&mfs;
"	22.001	7.552	14.449	35	13047	12962	46200	4511	1680	3628.00	12501.0
3567	"&scorr;&sweep;&dch -f;&syn2;&syn4;&dc2;&if -W 300 -K 6 -v;&mfs;
"	24.872	8.256	16.616	34	13620	13535	46200	4511	1680	3326.00	13058.0
7347	"&scorr;&sweep;&dch -f;&b -d;&if -W 300 -y -K 6;&syn2;&if -W 300 -K 6 -v;&mfs;
"	18.389	6.587	11.802	36	13110	13025	46200	4511	1680	3084.00	12577.0
18265	"&scorr;&sweep;&synch2;&syn2;&if -W 300 -y -K 6;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1790.00	16300.0
10148	"&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&synch2;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;
"	20.596	7.083	13.513	35	12723	12638	46200	4511	1680	2884.00	12088.0
9345	"&scorr;&sweep;&if -W 300 -g -K 6;&if -W 300 -y -K 6;&b;&syn3;&if -W 300 -K 6 -v;&mfs;
"	19.783	6.810	12.973	35	13147	13062	46200	4511	1680	3083.00	12693.0
12247	"&scorr;&sweep;&dch -f;&b -d;&b -d;&syn4;&if -W 300 -K 6 -v;&mfs;
"	23.093	7.884	15.209	35	13153	13068	46200	4511	1680	3629.00	12572.0
4650	"&scorr;&sweep;&syn3;&synch2;&if -W 300 -y -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;
"	20.321	7.094	13.227	35	12986	12901	46200	4511	1680	3083.00	12572.0
3211	"&scorr;&sweep;&b -d;&b;&syn2;&dc2;&if -W 300 -K 6 -v;&mfs;
"	24.197	8.125	16.072	34	13139	13054	46200	4511	1680	3325.00	12698.0
4561	"&scorr;&sweep;&dch -f;&syn3;&if -W 300 -y -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;
"	19.710	6.848	12.862	35	13040	12955	46200	4511	1680	3084.00	12506.0
9363	"&scorr;&sweep;&dch -f;&synch2;&b;&syn3;&if -W 300 -K 6 -v;&mfs;
"	18.832	6.925	11.907	37	12897	12812	46200	4511	1680	3386.00	12364.0
14592	"&scorr;&sweep;&b;&b -d;&syn4;&b;&if -W 300 -K 6 -v;&mfs;
"	20.893	6.850	14.043	33	13248	13163	46200	4511	1680	3629.00	12726.0
2539	"&scorr;&sweep;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&dch -f;&if -W 300 -K 6 -v;&mfs;
"										1843.00	17697.0
15920	"&scorr;&sweep;&syn3;&syn3;&dch;&b;&if -W 300 -K 6 -v;&mfs;
"	26.286	8.621	17.665	33	13017	12932	46200	4511	1680	3629.00	12465.0
9521	"&scorr;&sweep;&syn2;&if -W 300 -g -K 6;&b -d;&syn3;&if -W 300 -K 6 -v;&mfs;
"	20.545	7.094	13.451	35	12826	12741	46200	4511	1680	3082.00	12387.0
8253	"&scorr;&sweep;&if -W 300 -g -K 6;&dc2;&if -W 300 -K 6 -v;&st;&syn2;&if -W 300 -K 6 -v;&mfs;
"	18.781	6.925	11.856	37	13482	13397	46200	4511	1680	3085.00	13019.0
15675	"&scorr;&sweep;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -y -K 6;&b;&if -W 300 -K 6 -v;&mfs;
"	17.868	6.560	11.308	37	12791	12706	46200	4511	1680	2883.00	12173.0
21062	"&scorr;&sweep;&if -W 300 -x -K 6;&b -d;&if -W 300 -y -K 6;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"										1789.00	17667.0
5188	"&scorr;&sweep;&if -W 300 -y -K 6;&b -d;&dch -f;&dc2;&if -W 300 -K 6 -v;&mfs;
"	17.903	6.587	11.316	37	13978	13893	46200	4511	1680	3085.00	13428.0
7810	"&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&dch;&dch;&syn2;&if -W 300 -K 6 -v;&mfs;
"	18.597	6.535	12.062	36	12898	12813	46200	4511	1680	2883.00	12302.0
