Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
2911	&scorr;&sweep;&if -W 300 -g -K 6;&b;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	19.591	6.846(35%)	12.745(65%)	35	13216	85	13131	4511	1680	3085	  12701
2912	&scorr;&sweep;&if -W 300 -y -K 6;&b;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.819	7.094(35%)	13.725(65%)	35	13213	85	13128	4511	1680	3085	  12726
2913	&scorr;&sweep;&synch2;&b;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.662	7.173(35%)	13.489(65%)	35	13246	85	13161	4511	1680	3083	  12799
2914	&scorr;&sweep;&dch;&b;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	19.051	6.722(36%)	12.329(64%)	36	13124	85	13039	4511	1680	3085	  12551
2915	&scorr;&sweep;&dch -f;&b;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	23.197	7.552(33%)	15.645(67%)	33	13110	85	13025	4511	1680	3326	  12528
2916	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&b;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	19.853	6.853(35%)	13.000(65%)	35	13191	85	13106	4511	1680	2884	  12525
2917	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&b;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.510	7.049(35%)	13.461(65%)	35	13378	85	13293	4511	1680	3083	  12948
2918	&scorr;&sweep;&dc2;&b -d;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	23.091	7.676(34%)	15.415(66%)	34	13208	85	13123	4511	1680	3326	  12645
2919	&scorr;&sweep;&syn2;&b -d;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.842	7.173(35%)	13.669(65%)	35	13208	85	13123	4511	1680	3083	  12768
2920	&scorr;&sweep;&syn4;&b -d;&b -d;&if -W 300 -K 6 -v;&mfs;										1843	  15899
2921	&scorr;&sweep;&syn3;&b -d;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.585	7.173(35%)	13.412(65%)	35	13207	85	13122	4511	1680	3083	  12741
2922	&scorr;&sweep;&syn4;&b -d;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	23.449	7.563(33%)	15.886(67%)	33	13204	85	13119	4511	1680	3326	  12641
2923	&scorr;&sweep;&b;&b -d;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.372	6.952(35%)	13.420(65%)	35	13259	85	13174	4511	1680	3083	  12880
2924	&scorr;&sweep;&b -d;&b -d;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	19.057	6.719(36%)	12.338(64%)	36	13379	85	13294	4511	1680	3084	  12978
2925	&scorr;&sweep;&if -W 300 -x -K 6;&b -d;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	18.403	6.595(36%)	11.808(64%)	36	13358	85	13273	4511	1680	3083	  12871
2926	&scorr;&sweep;&if -W 300 -g -K 6;&b -d;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	18.697	6.722(36%)	11.975(64%)	36	13341	85	13256	4511	1680	3084	  12892
2927	&scorr;&sweep;&if -W 300 -y -K 6;&b -d;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	18.795	6.801(37%)	11.994(63%)	37	13400	85	13315	4511	1680	3083	  12921
2928	&scorr;&sweep;&synch2;&b -d;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	22.114	7.466(34%)	14.648(66%)	34	13250	85	13165	4511	1680	3083	  12824
2929	&scorr;&sweep;&dch;&b -d;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	18.719	6.397(35%)	12.322(65%)	35	13151	85	13066	4511	1680	3085	  12578
2930	&scorr;&sweep;&dch -f;&b -d;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	19.683	6.949(36%)	12.734(64%)	36	13197	85	13112	4511	1680	3085	  12614
2931	&scorr;&sweep;&b;&b -d;&b -d;&if -W 300 -K 6 -v;&mfs;										1843	  16825
2932	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	18.098	6.677(37%)	11.421(63%)	37	13245	85	13160	4511	1680	2883	  12584
2933	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&b -d;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	19.441	6.925(36%)	12.516(64%)	36	13554	85	13469	4511	1680	3084	  13071
2934	&scorr;&sweep;&dc2;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	19.325	6.835(36%)	12.490(64%)	36	13230	85	13145	4511	1680	3084	  12680
2935	&scorr;&sweep;&syn2;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.096	7.049(36%)	13.047(64%)	36	13238	85	13153	4511	1680	3082	  12800
2936	&scorr;&sweep;&syn3;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.774	7.155(35%)	13.619(65%)	35	13157	85	13072	4511	1680	3084	  12698
2937	&scorr;&sweep;&syn4;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.451	7.173(36%)	13.278(64%)	36	13091	85	13006	4511	1680	3085	  12558
2938	&scorr;&sweep;&b;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	19.663	6.925(36%)	12.738(64%)	36	13108	85	13023	4511	1680	3083	  12662
2939	&scorr;&sweep;&b -d;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	18.783	6.729(36%)	12.054(64%)	36	13362	85	13277	4511	1680	3083	  12934
2940	&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	17.751	6.553(37%)	11.198(63%)	37	13342	85	13257	4511	1680	3083	  12813
