Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
1111	&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&b;&if -W 300 -K 6 -v;&mfs;	18.365	6.605(36%)	11.760(64%)	36	13690	85	13605	4511	1680	3083	  13238
1112	&scorr;&sweep;&dch;&dc2;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	23.009	7.676(34%)	15.333(66%)	34	13014	85	12929	4511	1680	3628	  12453
1113	&scorr;&sweep;&dch -f;&dc2;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	23.642	7.800(33%)	15.842(67%)	33	12984	85	12899	4511	1680	3628	  12429
1114	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&dc2;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	18.582	6.722(37%)	11.860(63%)	37	12930	85	12845	4511	1680	3187	  12326
1115	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&dc2;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	21.480	7.342(35%)	14.138(65%)	35	12891	85	12806	4511	1680	3387	  12368
1116	&scorr;&sweep;&dc2;&syn2;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	23.665	7.800(33%)	15.865(67%)	33	12930	85	12845	4511	1680	3325	  12394
1117	&scorr;&sweep;&syn2;&syn2;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	21.374	7.218(34%)	14.156(66%)	34	12708	85	12623	4511	1680	3325	  12256
1118	&scorr;&sweep;&syn3;&syn2;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	21.212	7.315(35%)	13.897(65%)	35	12698	85	12613	4511	1680	3325	  12246
1119	&scorr;&sweep;&syn4;&syn2;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	21.870	7.563(35%)	14.307(65%)	35	12795	85	12710	4511	1680	3325	  12242
1120	&scorr;&sweep;&b;&syn2;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	21.552	7.342(35%)	14.210(65%)	35	12749	85	12664	4511	1680	3325	  12307
1121	&scorr;&sweep;&b -d;&syn2;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	20.006	6.977(35%)	13.029(65%)	35	12814	85	12729	4511	1680	3325	  12349
1122	&scorr;&sweep;&synch2;&if -W 300 -g -K 6;&b;&if -W 300 -K 6 -v;&mfs;	19.334	6.853(36%)	12.481(64%)	36	12955	85	12870	4511	1680	3082	  12486
1123	&scorr;&sweep;&if -W 300 -x -K 6;&syn2;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	20.381	6.970(35%)	13.411(65%)	35	12985	85	12900	4511	1680	3084	  12506
1124	&scorr;&sweep;&if -W 300 -g -K 6;&syn2;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	20.003	6.977(35%)	13.026(65%)	35	12909	85	12824	4511	1680	3083	  12425
1125	&scorr;&sweep;&if -W 300 -y -K 6;&syn2;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	20.327	7.094(35%)	13.233(65%)	35	12850	85	12765	4511	1680	3083	  12368
1126	&scorr;&sweep;&synch2;&syn2;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	21.208	7.076(34%)	14.132(66%)	34	12826	85	12741	4511	1680	3083	  12395
1127	&scorr;&sweep;&dch;&syn2;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	24.441	7.924(33%)	16.517(67%)	33	12794	85	12709	4511	1680	3325	  12229
1128	&scorr;&sweep;&dch -f;&syn2;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	23.273	7.676(33%)	15.597(67%)	33	12917	85	12832	4511	1680	3325	  12347
1129	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&syn2;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	20.436	6.977(35%)	13.459(65%)	35	12684	85	12599	4511	1680	2884	  12040
1130	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&syn2;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	20.186	6.970(35%)	13.216(65%)	35	12735	85	12650	4511	1680	3082	  12276
1131	&scorr;&sweep;&dc2;&syn3;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	24.229	7.924(33%)	16.305(67%)	33	12914	85	12829	4511	1680	3628	  12367
1132	&scorr;&sweep;&syn2;&syn3;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	22.202	7.563(35%)	14.639(65%)	35	12619	85	12534	4511	1680	3325	  12175
1133	&scorr;&sweep;&dch;&if -W 300 -g -K 6;&b;&if -W 300 -K 6 -v;&mfs;	18.850	6.659(36%)	12.191(64%)	36	13113	85	13028	4511	1680	3084	  12559
1134	&scorr;&sweep;&syn3;&syn3;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	22.095	7.466(34%)	14.629(66%)	34	12681	85	12596	4511	1680	3628	  12216
1135	&scorr;&sweep;&syn4;&syn3;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	22.420	7.590(34%)	14.830(66%)	34	12773	85	12688	4511	1680	3628	  12212
1136	&scorr;&sweep;&b;&syn3;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	23.886	7.838(33%)	16.048(67%)	33	12802	85	12717	4511	1680	3628	  12356
1137	&scorr;&sweep;&b -d;&syn3;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	20.053	7.094(36%)	12.959(64%)	36	12734	85	12649	4511	1680	3628	  12278
1138	&scorr;&sweep;&if -W 300 -x -K 6;&syn3;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	20.217	6.970(35%)	13.247(65%)	35	12967	85	12882	4511	1680	3083	  12472
1139	&scorr;&sweep;&if -W 300 -g -K 6;&syn3;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	20.318	7.094(35%)	13.224(65%)	35	12890	85	12805	4511	1680	3083	  12419
1140	&scorr;&sweep;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	22.116	7.466(34%)	14.650(66%)	34	12885	85	12800	4511	1680	3083	  12419
1141	&scorr;&sweep;&synch2;&syn3;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	20.835	7.173(35%)	13.662(65%)	35	12803	85	12718	4511	1680	3386	  12353
1142	&scorr;&sweep;&dch;&syn3;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	25.033	8.048(33%)	16.985(67%)	33	12849	85	12764	4511	1680	3628	  12281
1143	&scorr;&sweep;&dch -f;&syn3;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	24.792	8.048(33%)	16.744(67%)	33	12811	85	12726	4511	1680	3628	  12235
1144	&scorr;&sweep;&dch -f;&if -W 300 -g -K 6;&b;&if -W 300 -K 6 -v;&mfs;	18.782	6.580(36%)	12.202(64%)	36	13162	85	13077	4511	1680	3085	  12616
1145	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	21.268	7.094(34%)	14.174(66%)	34	12598	85	12513	4511	1680	3187	  11964
